model_id,rmse,rank,test_rmse,WMA
GLM_grid_1_model_1,0.474584345572869,20,0.38474709786267153,0.7096833234242872
GBM_grid_1_model_90,0.424610362541288,6,0.525035774022556,0.6572204707272078
XGBoost_grid_1_model_11,0.411740622093367,2,0.4498603488347407,0.6515985775466941
XGBoost_1,0.408571814389414,1,0.4576114974802042,0.6470976177284363
GBM_4,0.424806412167768,7,0.5202262873996464,0.6315757459987665
DRF_1,0.530174588369124,30,0.5890393332396543,0.6095021365500057
XRT_1,0.556126708257557,34,0.6243952835861343,0.5943561513161737
