model,item,feature,value,shap_value,expected_value
DRF_1,17,Temp,22.2,-0.050963998538012145,3.0536138523391805
DRF_1,18,Temp,22.2,-0.04012048350041797,3.0644573673767748
DRF_1,19,Temp,22.2,-0.07659219663742795,3.0279856542397647
DRF_1,20,Temp,22.2,-0.11427755586883892,2.9903002950083537
DRF_1,21,Temp,22.2,-0.05000685307017555,3.054570997807017
DRF_1,22,Temp,22.2,-0.04401726973684211,3.0605605811403507
DRF_1,23,Temp,22.2,-0.11382264254385865,2.9907552083333337
DRF_1,24,Temp,22.2,-0.10157392178362579,3.003003929093567
DRF_1,25,Temp,22.2,-0.04966876827485378,3.0549090826023386
DRF_1,26,Temp,22.2,-0.09465232090643272,3.0099255299707597
DRF_1,27,Temp,22.2,-0.06104747545948208,3.0435303754177108
DRF_1,28,Temp,22.2,-0.05500045687134511,3.0495773940058477
DRF_1,29,Temp,22.2,-0.09198876096491171,3.012589089912281
DRF_1,30,Temp,22.2,-0.08076343201754499,3.0238144188596476
DRF_1,31,Temp,22.2,-0.015211531432748657,3.089366319444444
DRF_1,32,Temp,22.2,-0.08091681025480413,3.0236610406223887
DRF_1,33,Temp,22.2,-0.05016936873433503,3.0544084821428577
DRF_1,34,Temp,22.2,-0.07738976347117665,3.027188087406016
DRF_1,35,Temp,22.2,-0.033198556286549497,3.0713792945906433
DRF_1,36,Temp,22.2,-0.07550027412280741,3.029077576754385
DRF_1,37,Temp,22.2,-0.03349552266081862,3.071082328216374
DRF_1,38,Temp,22.2,-0.052697825292398304,3.0518800255847944
DRF_1,39,Temp,22.2,0.018044133771929954,3.1226219846491228
DRF_1,40,Temp,22.2,0.01198601973684199,3.1165638706140344
DRF_1,41,Temp,22.2,0.016623263888888573,3.121201114766081
DRF_1,42,Temp,22.2,0.02851562499999949,3.133093475877192
DRF_1,43,Temp,22.2,-0.01753700657894819,3.0870408442982447
DRF_1,44,Temp,22.2,-0.014969389619883103,3.0896084612573094
DRF_1,45,Temp,22.2,-0.054753746345029275,3.0498241045321635
DRF_1,46,Temp,22.2,0.004132401315787959,3.1087102521929806
DRF_1,47,Temp,22.2,0.009390990497076368,3.1139688413742688
DRF_1,48,Temp,22.2,0.04292077850877063,3.1474986293859635
DRF_1,1,TSS,18.4,-0.4274853801169576,2.6770924707602353
DRF_1,2,TSS,19.2,-0.429790622389305,2.6747872284878875
DRF_1,3,TSS,20.1,-0.39664460630743414,2.7079332445697584
DRF_1,4,TSS,19.7,-0.3078170687134506,2.796760782163742
DRF_1,5,TSS,21,-0.20285348788638274,2.90172436299081
DRF_1,6,TSS,21.1,-0.2808231516290726,2.82375469924812
DRF_1,7,TSS,20.6,-0.37431012426900506,2.7302677266081874
DRF_1,8,TSS,21.3,-0.23589442355889573,2.868683427318297
DRF_1,9,TSS,21.6,-0.07236189431913222,3.03221595655806
DRF_1,10,TSS,21.8,0.11054002192982462,3.215117872807017
DRF_1,11,TSS,22.2,0.09726529866332484,3.2018431495405175
DRF_1,12,TSS,21.5,-0.04842379385964882,3.056154057017544
DRF_1,13,TSS,21.8,0.09625365497075991,3.2008315058479524
DRF_1,14,TSS,19.9,-0.3299505273600664,2.774627323517126
DRF_1,15,TSS,22.1,0.0586074561403509,3.1631853070175433
DRF_1,16,TSS,22.1,0.07094298245614022,3.1755208333333327
DRF_1,17,TSS,22.4,0.08389528508771957,3.1884731359649123
DRF_1,18,TSS,21.9,0.058262191938179136,3.162840042815372
DRF_1,19,TSS,22.4,0.0257698282163742,3.1303476790935667
DRF_1,20,TSS,20.9,-0.2962357064536337,2.808342144423559
DRF_1,21,TSS,20.6,-0.308408717105264,2.7961691337719285
DRF_1,22,TSS,23.2,0.12974689327485456,3.234324744152047
DRF_1,23,TSS,22.9,0.12289610745614021,3.227473958333333
DRF_1,24,TSS,21.6,-0.07245751096491193,3.0321203399122805
DRF_1,25,TSS,22.8,0.2110220211988304,3.315599872076023
DRF_1,26,TSS,20.4,-0.3294978983918126,2.77507995248538
DRF_1,27,TSS,20.5,-0.4650039813074347,2.639573869569758
DRF_1,28,TSS,19.9,-0.3580569261695914,2.7465209247076015
DRF_1,29,TSS,20.3,-0.4425095942982447,2.662068256578948
DRF_1,30,TSS,21.1,-0.2176466557017521,2.8869311951754404
DRF_1,31,TSS,21.5,-0.019560946637426697,3.0850169042397657
DRF_1,32,TSS,21.2,-0.22255149592731754,2.882026354949875
DRF_1,33,TSS,21.6,-0.10795902516708455,2.996618825710108
DRF_1,34,TSS,21.4,-0.24069842575188014,2.8638794251253126
DRF_1,35,TSS,21.9,0.034477796052632265,3.1390556469298247
DRF_1,36,TSS,21.4,-0.14928042763157787,2.955297423245615
DRF_1,37,TSS,24.8,0.16136924342105177,3.2659470942982445
DRF_1,38,TSS,20,-0.40286229897660747,2.7017155519005853
DRF_1,39,TSS,22.2,0.036204769736841835,3.1407826206140346
DRF_1,40,TSS,22.8,0.13800941154970794,3.2425872624269005
DRF_1,41,TSS,23.1,0.079591557017544,3.1841694078947365
DRF_1,42,TSS,23,0.04859055190058481,3.1531684027777773
DRF_1,43,TSS,19.7,-0.3824355811403495,2.7221422697368434
DRF_1,44,TSS,22.7,0.17066200657894717,3.27523985745614
DRF_1,45,TSS,21.3,-0.10086577119883078,3.003712079678362
DRF_1,46,TSS,22.7,0.08146701388888905,3.1860448647660817
DRF_1,47,TSS,22.1,0.02115085891812868,3.1257287097953212
DRF_1,48,TSS,22.2,0.022685946637427346,3.12726379751462
GBM_4,1,Anth,299,-0.7595724822578835,2.3406870109410685
GBM_4,2,Anth,544,-0.7241550283370086,2.3761044648619434
GBM_4,3,Anth,522,-0.7961956609689069,2.304063832230045
GBM_4,4,Anth,478,-0.7491849913071242,2.3510745018918273
GBM_4,5,Anth,588,-0.6211260165384582,2.4791334766604933
GBM_4,6,Anth,677,-0.3450260681325338,2.755233425066418
GBM_4,7,Anth,639,-0.519196270148566,2.5810632230503856
GBM_4,8,Anth,494,-0.7072157687210974,2.393043724477854
GBM_4,9,Anth,609,-0.5186952644654008,2.581564228733551
GBM_4,10,Anth,565,-0.6909547787867673,2.4093047144121846
GBM_4,11,Anth,655,-0.3860095828270751,2.7142499103718767
GBM_4,12,Anth,861,0.5233049204593444,3.623564413658296
GBM_4,13,Anth,642,-0.4504128169376901,2.649846676261262
GBM_4,14,Anth,436,-0.7251077793938138,2.375151713805138
GBM_4,15,Anth,576,-0.7074064589407698,2.3928530342581817
GBM_4,16,Anth,506,-0.7032166012774415,2.3970428919215103
GBM_4,17,Anth,749,-0.2459716063217957,2.854287886877156
GBM_4,18,Anth,571,-0.720491192685384,2.3797683005135677
GBM_4,19,Anth,761,-0.23825931007392365,2.862000183125028
GBM_4,20,Anth,499,-0.7083372272036784,2.3919222659952735
GBM_4,21,Anth,754,-0.203151402348289,2.897108090850663
GBM_4,22,Anth,725,-0.2367903000809341,2.863469193118018
GBM_4,23,Anth,833,0.43489341041352736,3.535152903612479
GBM_4,24,Anth,830,0.5029680676151558,3.6032275608141076
GBM_4,25,Anth,933,0.8412434404282664,3.941502933627218
GBM_4,26,Anth,613,-0.5053109989267384,2.5949484942722134
GBM_4,27,Anth,548,-0.740746612396428,2.359512880802524
GBM_4,28,Anth,765,-0.08017576319267955,3.0200837300062724
GBM_4,29,Anth,683,-0.338052441343885,2.762207051855067
GBM_4,30,Anth,922,0.8692033166099563,3.969462809808908
GBM_4,31,Anth,763,-0.1381246737094241,2.9621348194895276
GBM_4,32,Anth,518,-0.7189026697914308,2.381356823407521
GBM_4,33,Anth,656,-0.43820587110025766,2.662053622098694
GBM_4,34,Anth,644,-0.4138597679268258,2.686399725272126
GBM_4,35,Anth,758,-0.2588724795841697,2.8413870136147823
GBM_4,36,Anth,877,0.6618819976592926,3.7621414908582445
GBM_4,37,Anth,901,0.49517616417713434,3.595435657376086
GBM_4,38,Anth,480,-0.694893457362064,2.405366035836888
GBM_4,39,Anth,793,-0.05367903628702125,3.0465804569119306
GBM_4,40,Anth,718,-0.26476275533928423,2.8354967378596676
GBM_4,41,Anth,784,-0.1262720388684907,2.973987454330461
GBM_4,42,Anth,765,-0.16939472594397853,2.930864767254973
GBM_4,43,Anth,481,-0.7332419157810364,2.3670175774179154
GBM_4,44,Anth,655,-0.4094060982438855,2.690853394955066
GBM_4,45,Anth,469,-0.7487796574459937,2.351479835752958
GBM_4,46,Anth,585,-0.562846055017467,2.537413438181485
GBM_4,47,Anth,684,-0.3723054183833986,2.7279540748155533
GBM_4,48,Anth,497,-0.7510956620146509,2.349163831184301
GBM_4,1,BW,1.99,-0.14238894911519318,2.9578705440837587
GBM_4,2,BW,1.88,-0.08722200317633333,3.0130374900226187
GBM_4,3,BW,1.93,-0.021849824121837447,3.0784096690771143
GBM_4,4,BW,2.11,-0.4441576637371015,2.6561018294618504
GBM_4,5,BW,2.01,-0.4869868112804687,2.613272681918483
GBM_4,6,BW,1.98,-0.07692584483168671,3.0233336483672653
GBM_4,7,BW,1.73,0.027959031264608303,3.12821852446356
GBM_4,8,BW,1.75,0.011427715351764123,3.111687208550716
