model,RMSE
XGBoost_1,0.408571814389414
XGBoost_grid_1_model_11,0.411740622093367
GBM_grid_1_model_90,0.424610362541288
GBM_4,0.424806412167768
GLM_grid_1_model_1,0.474584345572869
DRF_1,0.530174588369124
XRT_1,0.556126708257557
