model_id,rmse,rank,test_rmse,WMA
GLM_grid_1_model_1,0.463787939901432,30,0.40285426558482745,0.7696988143668492
XGBoost_grid_1_model_9,0.395577489097816,1,0.4300421115765545,0.7137905593344729
XGBoost_3,0.395667516092918,2,0.45724400580965097,0.6927251029594763
DRF_1,0.495469600873885,42,0.567415935378224,0.6911072975364693
XRT_1,0.527310082512233,50,0.5850479941244214,0.6899423809079429
GBM_grid_1_model_77,0.408641566830876,6,0.5259040867481906,0.6833628317519578
GBM_2,0.40636039126661,4,0.5070507713539191,0.6786120481036181
